VEHICLE_POWER,CARRY_CAPACITY,CUBIC_CAPACITY,VEHICLE_COLOUR_2
,666.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,18500.0,,ZZ
,,,ZZ
,1030.0,,GRN
,,,ZZ
,,,ZZ
,,110.0,ZZ
,,2300.0,ZZ
,,,ZZ
,1155.0,,ZZ
,,,ZZ
,5320.0,,ZZ
,,,ZZ
,,,ZZ
,1343.0,,ZZ
,,1500.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1180.0,,ZZ
,4300.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,2200.0,ZZ
,,,ZZ
,,,ZZ
,960.0,,ZZ
,,278.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,150.0,ZZ
,,4200.0,ZZ
,,,ZZ
,,,ZZ
,,2700.0,ZZ
,,595.0,ZZ
,1330.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,2400.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1253.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,2000.0,ZZ
,,,ZZ
,,,BLK
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,11115.0,,ZZ
,,250.0,BLU
,,,ZZ
,,998.0,ZZ
,,,ZZ
,790.0,,ZZ
,,,ZZ
,1249.0,,ZZ
,,,ZZ
,,,ZZ
,,1200.0,ZZ
,,649.0,ZZ
,,,ZZ
,1710.0,2300.0,ZZ
,1419.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,990.0,,ZZ
,,883.0,ZZ
,970.0,,ZZ
,525.0,,ZZ
,,,ZZ
,669.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,4000.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,16080.0,,ZZ
,,,ZZ
,,,ZZ
,,1000.0,ZZ
,,,ZZ
,,,ZZ
,,4500.0,ZZ
,,,ZZ
,,1400.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1135.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1306.0,,ZZ
,,,ZZ
,1100.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,703.0,,ZZ
,,,ZZ
,,1200.0,ZZ
,585.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,650.0,BLK
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,4000.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,1000.0,RED
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,3500.0,ZZ
,,,ZZ
,400.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,3000.0,ZZ
,,1300.0,ZZ
,547.0,,ZZ
,,,ZZ
,1350.0,,ZZ
,827.0,,ZZ
,,,ZZ
,,650.0,ZZ
,,,ZZ
,,1000.0,ZZ
,1300.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,900.0,ZZ
,,,ZZ
,,450.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,880.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,RED
,,,ZZ
,586.0,,ZZ
,,2000.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,555.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,2000.0,ZZ
,,150.0,SIL
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,1550.0,ZZ
,,600.0,WHI
,,,ZZ
,,,ZZ
,5755.0,,ZZ
,,,ZZ
,,,ZZ
,578.0,,ZZ
,,,ZZ
,,,ZZ
,,450.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,4000.0,ZZ
,,,ZZ
,,,ZZ
,,2500.0,ZZ
,,,ZZ
,,1500.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,150.0,WHI
,,,ZZ
,,,ZZ
,680.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,1000.0,ZZ
,,,ZZ
,,450.0,ZZ
,,,ZZ
,,,ZZ
,,125.0,ZZ
,,,ZZ
,,,ZZ
,,2000.0,ZZ
,,,ZZ
,,,ZZ
,,110.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,1000.0,BLU
,,1600.0,ZZ
,,,ZZ
,,3500.0,ZZ
,,,ZZ
,754.0,,ZZ
,740.0,,ZZ
,17740.0,,ZZ
,,,ZZ
,,,ZZ
,,4000.0,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1135.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,440.0,1800.0,ZZ
,,,ZZ
,,300.0,ZZ
,954.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,572.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,3600.0,ZZ
,,,ZZ
,,,ZZ
,690.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,3300.0,ZZ
,,,ZZ
,1078.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,625.0,,ZZ
,,,ZZ
,,,ZZ
,1166.0,,ZZ
,,1580.0,WHI
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,1260.0,,ZZ
,,,ZZ
,,1580.0,WHI
,,,ZZ
,1025.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,879.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,825.0,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,321.0,WHI
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,,,ZZ
,975.0,,ZZ
